cicp_initiative,cicp_init_sect,sector_name,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage,Counties
Advanced & Traded Industries,1,Manufacturing,2200,27219.333333333332,1480252720,54382.279568444,90
Advanced & Traded Industries,2,Logistics,6204,27384.583333333332,1655550928,60449.73377356481,92
Advanced & Traded Industries,3,All Other,10850,29326.166666666668,2348262219,80069.29530510295,92
AgriNovus,1,Agricultural Production and Distribution,901,3449.5,138599329,40174.6371937962,91
AgriNovus,2,Value-Added Food and Nutrition,468,6843.833333333333,276545166,40407.017753208485,74
AgriNovus,3,Animal Health and Nutrition,158,971.6666666666666,44571023,45870.69262435678,53
AgriNovus,4,Plant Science and Crop Protection,106,309.8333333333333,20962841,67658.44324905863,53
AgriNovus,5,"Agricultural Equipment, Technologies, and Systems",94,388,21273916,54829.68041237113,48
AgriNovus,6,Biomass Processing,27,152.25,7750758,50908.098522167485,20
BioX,1,Ag/Biotech,13,109,9986603,91620.21100917431,11
BioX,2,Pharma,25,124.83333333333333,11720724,93890.97997329774,12
BioX,3,MedDev,46,372.8333333333333,30654844,82221.18909253465,21
BioX,4,Research/Testing,434,1357.9166666666667,150763389,111020.68315434182,52
BioX,6,Bio-Logistics,476,1286.3333333333333,128372782,99797.44648872766,66
Conexus,1,Manufacturing,2200,27219.333333333332,1480252720,54382.279568444,90
Conexus,2,Logistics,2922,15911.5,819155005,51474.76447852182,91
Other,21,"Mining, Quarrying, and Oil and Gas Extraction",50,376.25,26307444,69919.50830564785,30
Other,22,Utilities,55,282,22165108,78555.98581560283,35
Other,23,Construction,6871,27766.333333333332,1565095608,56361.65763094395,92
Other,441,Motor Vehicle and Parts Dealers,595,4159.833333333333,226985216,54561.44893625546,84
Other,444,Building Material and Garden Equipment and Supplies Dealers,217,1084.0833333333333,46385492,42787.754938888465,64
Other,445,Food and Beverage Retailers,690,3205.9166666666665,72634179,22642.552676041694,79
Other,449,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",361,1989.1666666666667,82080663,41263.22563887725,56
Other,455,General Merchandise Retailers,154,728.0833333333334,22132944,30398.915875014307,49
Other,456,Health and Personal Care Retailers,314,1648.1666666666667,75612192,45876.5448478107,56
Other,457,Gasoline Stations and Fuel Dealers,743,2615.5,56669493,21660.389982794877,81
Other,458,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",439,2640.3333333333335,67754886,25661.489458401717,64
Other,459,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",1311,6167.333333333333,179691412,29133.09177386229,86
Other,482,Rail Transportation,1,0.75,48163,64217.333333333336,1
Other,483,Water Transportation,2,3.5,402646,115041.71428571429,1
Other,485,Transit and Ground Passenger Transportation,111,767.6666666666666,24623996,32075.478940512377,37
Other,486,Pipeline Transportation,4,9.833333333333334,1118367,113732.23728813558,4
Other,487,Scenic and Sightseeing Transportation,11,475.5,31133857,65476.039957939014,8
Other,491,Postal Service,5,193.41666666666666,7408826,38305.00301594141,4
Other,51,Information,294,1019.0833333333334,63978574,62767.318341646904,49
Other,52,Finance and Insurance,37,33.5,4351987,129910.05970149254,16
Other,53,Real Estate and Rental and Leasing,3117,6947.5,377544489,54338.77840949982,88
Other,54,"Professional, Scientific, and Technical Services",1755,4713.166666666667,273811046,58089.73655362636,88
Other,56,Administrative and Support and Waste Management and Remediation Services,4047,30881.416666666668,1218469620,39454.66155751706,92
Other,61,Educational Services,763,5173.416666666667,172539390,33343.297305133616,70
Other,62,Health Care and Social Assistance,4437,40016.416666666664,1695511905,42368.85491579498,88
Other,71,"Arts, Entertainment, and Recreation",1086,8008.333333333333,201687328,25179.812528616025,81
Other,72,Accommodation and Food Services,4775,53081.333333333336,1108047762,20873.38852327246,92
Other,81,Other Services (except Public Administration),5262,15824.083333333334,585585645,37001.27897877181,91
Other,99,Unclassified,27,21.75,1434452,65179.12643678161,18
TechPoint,1,IT/Tech Services,2627,6401,623054618,97331.45383533822,84
TechPoint,2,"Telecommunications, Internet Services and Data Hosting",393,1166.8333333333333,91599524,78490.16511926868,56
TechPoint,3,Software,175,421.75,52403561,124252.66390041493,37
TechPoint,4,"Manufacturing: Computer, Peripheral and Communications Equipment",86,645.75,49688795,76947.41773132017,27
Total,NULL,NULL,58009,307981.5833333333,13909782097,45161.10498706768,92
