cicp_initiative,cohort_year,Years_Since_Start,Establishments,Employment,Initial_Establishments,Survival_Rate
Advanced & Traded Industries,2017,0,2056,3322,2056,100
Advanced & Traded Industries,2018,0,2268,3696.25,2268,100
Advanced & Traded Industries,2019,0,2515,4041.1666666666665,2515,100
Advanced & Traded Industries,2020,0,2614,3815.4166666666665,2614,100
Advanced & Traded Industries,2021,0,3743,4858.75,3743,100
Advanced & Traded Industries,2022,0,4530,6418.916666666667,4530,100
AgriNovus,2017,0,159.647000627,355.2461881826667,159.647000627,100
AgriNovus,2018,0,193.905380341,447.97488762641666,193.905380341,100
AgriNovus,2019,0,221.174397035,512.5088719005834,221.174397035,100
AgriNovus,2020,0,162.306246137,428.2162570055833,162.306246137,100
AgriNovus,2021,0,233.366852198,434.35702239525,233.366852198,100
AgriNovus,2022,0,265,634,265,100
BioX,2017,0,55.541,70.64958333333334,55.541,100
BioX,2018,0,78.68,92.92516666666667,78.68,100
BioX,2019,0,117.724,126.74975,117.724,100
BioX,2020,0,113.153,116.03399999999999,113.153,100
BioX,2021,0,178.179,188.7195,178.179,100
BioX,2022,0,252,327.0833333333333,252,100
Conexus,2017,0,599,1453,599,100
Conexus,2018,0,727,1481.8333333333333,727,100
Conexus,2019,0,689,1872.3333333333333,689,100
Conexus,2020,0,691,1710.0833333333333,691,100
Conexus,2021,0,909,1908.5833333333333,909,100
Conexus,2022,0,897,3066,897,100
Other,2017,0,4896,12132.25,4896,100
Other,2018,0,5234,13542.25,5234,100
Other,2019,0,5359,12587.916666666666,5359,100
Other,2020,0,5227,11792.583333333334,5227,100
Other,2021,0,6552,14940.083333333334,6552,100
Other,2022,0,6911,14636.5,6911,100
TechPoint,2017,0,288,355.4166666666667,288,100
TechPoint,2018,0,283,554.9166666666666,283,100
TechPoint,2019,0,386,413.4166666666667,386,100
TechPoint,2020,0,448,451.5,448,100
TechPoint,2021,0,719,820.3333333333334,719,100
TechPoint,2022,0,1059,826.5833333333334,1059,100
Total,2017,0,7045,15648.5,7045,100
Total,2018,0,7607,17446.083333333332,7607,100
Total,2019,0,7987,16838.666666666668,7987,100
Total,2020,0,7931,15816.583333333334,7931,100
Total,2021,0,10416,19996.25,10416,100
Total,2022,0,11658,21338.833333333332,11658,100
Advanced & Traded Industries,2016,1,2147,7316.583333333333,2147,100
Advanced & Traded Industries,2017,1,2035,6422.833333333333,2056,98.97859922178989
Advanced & Traded Industries,2018,1,2230,6569.833333333333,2268,98.32451499118166
Advanced & Traded Industries,2019,1,2480,7940.166666666667,2515,98.60834990059642
Advanced & Traded Industries,2020,1,2595,8365.666666666666,2614,99.27314460596787
Advanced & Traded Industries,2021,1,3586,8684.75,3743,95.80550360673257
AgriNovus,2016,1,180.612987016,1434.3673350130832,180.612987016,100
AgriNovus,2017,1,158.773531239,647.4791697495833,159.647000627,99.45287453909592
AgriNovus,2018,1,188.905380341,862.2578373275834,193.905380341,97.42142276237665
AgriNovus,2019,1,217.174397035,989.8329684320834,221.174397035,98.19147240656115
AgriNovus,2020,1,164.306246137,826.78217110925,162.306246137,101.23223846746589
AgriNovus,2021,1,253,846.9166666666666,233.366852198,108.41299765458645
BioX,2016,1,55.097,276.05175,55.097,100
BioX,2017,1,61.955,153.643,55.541,111.5482256351164
BioX,2018,1,79.464,197.18958333333333,78.68,100.99644128113879
BioX,2019,1,114.724,251.97233333333332,117.724,97.45166661003704
BioX,2020,1,116.676,265.96658333333335,113.153,103.11348351347291
BioX,2021,1,206,417.25,178.179,115.614073487897
Conexus,2016,1,589,3674.3333333333335,589,100
Conexus,2017,1,594,3307.9166666666665,599,99.1652754590985
Conexus,2018,1,711,2813.0833333333335,727,97.79917469050893
Conexus,2019,1,673,4146.166666666667,689,97.677793904209
Conexus,2020,1,684,4037,691,98.98697539797395
Conexus,2021,1,896,3837.6666666666665,909,98.56985698569856
Other,2016,1,4756,23332.25,4756,100
Other,2017,1,4791,23004,4896,97.85539215686273
Other,2018,1,5089,22683.5,5234,97.22965227359572
Other,2019,1,5228,21048.75,5359,97.55551408844934
Other,2020,1,5143,24020.583333333332,5227,98.3929596326765
Other,2021,1,6373,25971.916666666668,6552,97.26800976800976
TechPoint,2016,1,298,665.6666666666666,298,100
TechPoint,2017,1,287,570.9166666666666,288,99.65277777777779
TechPoint,2018,1,273,948.3333333333334,283,96.46643109540636
TechPoint,2019,1,386,717.3333333333334,386,100
TechPoint,2020,1,444,942.75,448,99.10714285714286
TechPoint,2021,1,703,1264.4166666666667,719,97.77468706536857
Total,2016,1,7010,31054.166666666668,7010,100
Total,2017,1,6915,29739.833333333332,7045,98.15471965933286
Total,2018,1,7423,29613.666666666668,7607,97.58117523333772
Total,2019,1,7818,29359.833333333332,7987,97.88406160010015
Total,2020,1,7828,32700.5,7931,98.7012987012987
Total,2021,1,10160,35161.333333333336,10416,97.54224270353302
Advanced & Traded Industries,2015,2,2076,7519.25,2076,100
Advanced & Traded Industries,2016,2,1951,8024.666666666667,2147,90.87098276665114
Advanced & Traded Industries,2017,2,1852,7064.5,2056,90.07782101167315
Advanced & Traded Industries,2018,2,1977,6923.583333333333,2268,87.16931216931218
Advanced & Traded Industries,2019,2,2247,9452.666666666666,2515,89.34393638170974
Advanced & Traded Industries,2020,2,2242,9191.833333333334,2614,85.76893649579189
AgriNovus,2015,2,197.053184913,805.7746114536667,197.053184913,100
AgriNovus,2016,2,169.365244282,1450.9603481066667,180.612987016,93.77246181471789
AgriNovus,2017,2,146.586394566,696.4823633584167,159.647000627,91.81907207169218
AgriNovus,2018,2,175.778849729,884.6690706575833,193.905380341,90.6518681533628
AgriNovus,2019,2,200.921335811,1011.8179119721667,221.174397035,90.84294498119733
AgriNovus,2020,2,168,967.5,162.306246137,103.50803126713559
BioX,2015,2,67.232,302.105,67.232,100
BioX,2016,2,60.558,338.4633333333333,55.097,109.91161043250995
BioX,2017,2,62.325,293.6433333333333,55.541,112.2144001728453
BioX,2018,2,71.482,228.31975,78.68,90.85155058464666
BioX,2019,2,103.702,278.0860833333333,117.724,88.0890897353131
BioX,2020,2,118,267.5,113.153,104.28358063860436
Conexus,2015,2,528,3250.5,528,100
