Category,cicp_initiative,Year_1,Year_3,Year_5
True Startups (Type 1: 1-20 employees),Advanced & Traded Industries,98.45283707789744,81.96094233276764,76.51666797738865
True Startups (Type 1: 1-20 employees),AgriNovus,100.56505973835702,88.902194498760025,87.31440725636682
True Startups (Type 1: 1-20 employees),BioX,104.4466938423659,95.00145791309774,91.07829133896796
True Startups (Type 1: 1-20 employees),Conexus,98.49186091357231,82.73575605704207,79.33722767944143
True Startups (Type 1: 1-20 employees),Other,98.0093598482215,81.17468092383702,76.73204203367575
True Startups (Type 1: 1-20 employees),TechPoint,98.93557458134198,80.20813109046271,72.919928696825
All Qualified (Types 1-4),Advanced & Traded Industries,98.49835205437807,82.25139021801932,76.84277088991573
All Qualified (Types 1-4),AgriNovus,100.78516763834767,89.24671167305165,87.14148219183683
All Qualified (Types 1-4),BioX,104.78731508794368,95.29697781979912,91.08449569845315
All Qualified (Types 1-4),Conexus,98.69984607291482,83.40149453794315,79.98054150302599
All Qualified (Types 1-4),Other,98.05025465326568,81.60336791280983,77.05878364031753
All Qualified (Types 1-4),TechPoint,98.83350646594926,80.27388353450334,73.06151509033032
