cicp_initiative,cohort_year,Years_Since_Start,Establishments,Employment,Initial_Establishments,Survival_Rate
Advanced & Traded Industries,2017,0,2019,2749.6666666666665,2019,100
Advanced & Traded Industries,2018,0,2218,2639.3333333333335,2218,100
Advanced & Traded Industries,2019,0,2457,2713.1666666666665,2457,100
Advanced & Traded Industries,2020,0,2552,2733,2552,100
Advanced & Traded Industries,2021,0,3687,3673.9166666666665,3687,100
Advanced & Traded Industries,2022,0,4468,4305.916666666667,4468,100
AgriNovus,2017,0,150.647000627,275.079521516,150.647000627,100
AgriNovus,2018,0,181.905380341,301.64155429308335,181.905380341,100
AgriNovus,2019,0,211.174397035,365.50887190058336,211.174397035,100
AgriNovus,2020,0,155.245640076,314.4838598765,155.245640076,100
AgriNovus,2021,0,228.245640076,375.91660646741667,228.245640076,100
AgriNovus,2022,0,253,372.25,253,100
BioX,2017,0,55.541,70.64958333333334,55.541,100
BioX,2018,0,78.68,92.92516666666667,78.68,100
BioX,2019,0,116.94,113.66775,116.94,100
BioX,2020,0,113.153,116.03399999999999,113.153,100
BioX,2021,0,177.179,171.63616666666667,177.179,100
BioX,2022,0,251,232.08333333333334,251,100
Conexus,2017,0,573,1063.5,573,100
Conexus,2018,0,701,994.6666666666666,701,100
Conexus,2019,0,645,892.5833333333334,645,100
Conexus,2020,0,647,935.6666666666666,647,100
Conexus,2021,0,868,1130.1666666666667,868,100
Conexus,2022,0,847,1225.8333333333333,847,100
Other,2017,0,4667,7712.5,4667,100
Other,2018,0,4959,8334.833333333334,4959,100
Other,2019,0,5099,8058.833333333333,5099,100
Other,2020,0,5001,7570.416666666667,5001,100
Other,2021,0,6284,9356.583333333334,6284,100
Other,2022,0,6650,9580.166666666666,6650,100
TechPoint,2017,0,286,334.75,286,100
TechPoint,2018,0,275,316.9166666666667,275,100
TechPoint,2019,0,384,359.75,384,100
TechPoint,2020,0,444,383.3333333333333,444,100
TechPoint,2021,0,711,571.6666666666666,711,100
TechPoint,2022,0,1058,811.0833333333334,1058,100
Total,2017,0,6772,10602.083333333334,6772,100
Total,2018,0,7276,11118,7276,100
Total,2019,0,7667,10960.666666666666,7667,100
Total,2020,0,7639,10462.833333333334,7639,100
Total,2021,0,10090,13209.583333333334,10090,100
Total,2022,0,11333,14147.916666666666,11333,100
Advanced & Traded Industries,2016,1,2096,4660.416666666667,2096,100
Advanced & Traded Industries,2017,1,1996,5065.333333333333,2019,98.86082218920258
Advanced & Traded Industries,2018,1,2182,4792.833333333333,2218,98.37691614066728
Advanced & Traded Industries,2019,1,2418,4981.25,2457,98.4126984126984
Advanced & Traded Industries,2020,1,2532,5370.333333333333,2552,99.21630094043887
Advanced & Traded Industries,2021,1,3534,6621.333333333333,3687,95.85028478437754
AgriNovus,2016,1,174.612987016,746.3673350130833,174.612987016,100
AgriNovus,2017,1,150.773531239,492.14583641625,150.647000627,100.08399145782747
AgriNovus,2018,1,176.905380341,568.2578373275834,181.905380341,97.25131824543783
AgriNovus,2019,1,206.174397035,751.6663017654166,211.174397035,97.63228872903031
AgriNovus,2020,1,156.245640076,579.2804491795833,155.245640076,100.6441404728084
AgriNovus,2021,1,246,696.0833333333334,228.245640076,107.77861952503814
BioX,2016,1,52.097,145.80658333333332,52.097,100
BioX,2017,1,61.955,153.643,55.541,111.5482256351164
BioX,2018,1,79.464,197.18958333333333,78.68,100.99644128113879
BioX,2019,1,112.127,226.86516666666665,116.94,95.88421412690268
BioX,2020,1,116.676,265.96658333333335,113.153,103.11348351347291
BioX,2021,1,204,355.25,177.179,115.1377984975646
Conexus,2016,1,560,1842.5,560,100
Conexus,2017,1,567,2150.5833333333335,573,98.95287958115183
Conexus,2018,1,685,1874.4166666666667,701,97.71754636233952
Conexus,2019,1,626,1694.1666666666667,645,97.05426356589147
Conexus,2020,1,638,1915.1666666666667,647,98.60896445131375
Conexus,2021,1,856,2305.0833333333335,868,98.61751152073732
Other,2016,1,4506,13711.083333333334,4506,100
Other,2017,1,4561,14501.583333333334,4667,97.7287336618813
Other,2018,1,4812,14536.5,4959,97.03569267997581
Other,2019,1,4974,13359,5099,97.5485389292018
Other,2020,1,4925,15465.416666666666,5001,98.48030393921215
Other,2021,1,6112,16764.416666666668,6284,97.26288987905792
TechPoint,2016,1,295,545.5,295,100
TechPoint,2017,1,286,558.8333333333334,286,100
TechPoint,2018,1,265,566.9166666666666,275,96.36363636363636
TechPoint,2019,1,385,703.8333333333334,384,100.26041666666667
TechPoint,2020,1,440,812.25,444,99.09909909909909
TechPoint,2021,1,696,967.5,711,97.8902953586498
Total,2016,1,6707,18703.166666666668,6707,100
Total,2017,1,6640,19773,6772,98.0507974010632
Total,2018,1,7092,19593.5,7276,97.47113798790544
Total,2019,1,7500,18685.75,7667,97.8218338333116
Total,2020,1,7543,21094.333333333332,7639,98.74329100667627
Total,2021,1,9843,23815.916666666668,10090,97.55203171456887
Advanced & Traded Industries,2015,2,2030,5542.083333333333,2030,100
Advanced & Traded Industries,2016,2,1902,5302.5,2096,90.7442748091603
Advanced & Traded Industries,2017,2,1818,5381.333333333333,2019,90.04457652303121
Advanced & Traded Industries,2018,2,1932,5155,2218,87.10550045085664
Advanced & Traded Industries,2019,2,2184,6186.583333333333,2457,88.88888888888889
Advanced & Traded Industries,2020,2,2180,5950.75,2552,85.42319749216301
AgriNovus,2015,2,188.992578852,639.64955347975,188.992578852,100
AgriNovus,2016,2,164.365244282,810.29368144,174.612987016,94.13116807110057
AgriNovus,2017,2,138.586394566,558.8990300250833,150.647000627,91.99412798741217
AgriNovus,2018,2,164.778849729,551.9190706575833,181.905380341,90.584923557569
AgriNovus,2019,2,190.921335811,809.6512453055,211.174397035,90.40931973365916
AgriNovus,2020,2,160,677.0833333333334,155.245640076,103.06247564934674
BioX,2015,2,66.232,300.77166666666665,66.232,100
BioX,2016,2,57.558,185.89683333333332,52.097,110.48236942626255
BioX,2017,2,62.325,293.6433333333333,55.541,112.2144001728453
BioX,2018,2,71.482,228.31975,78.68,90.85155058464666
BioX,2019,2,101.105,248.80741666666665,116.94,86.45886779545067
BioX,2020,2,118,267.5,113.153,104.28358063860436
Conexus,2015,2,504,2101.1666666666665,504,100
Conexus,2016,2,504,2236.8333333333335,560,90
Conexus,2017,2,513,2427.5833333333335,573,89.52879581151832
Conexus,2018,2,595,2110.25,701,84.87874465049929
Conexus,2019,2,560,2199.75,645,86.82170542635659
Conexus,2020,2,569,2356.8333333333335,647,87.94435857805254
Other,2015,2,4080,14132.333333333334,4080,100
Other,2016,2,3995,14147.083333333334,4506,88.65956502441189
Other,2017,2,3999,15366.583333333334,4667,85.68673666166703
Other,2018,2,4237,13814.5,4959,85.44061302681992
Other,2019,2,4428,15391.75,5099,86.84055697195528
Other,2020,2,4315,16217.75,5001,86.28274345130974
TechPoint,2015,2,285,592.6666666666666,285,100
TechPoint,2016,2,264,572.3333333333334,295,89.49152542372882
TechPoint,2017,2,259,663.4166666666666,286,90.55944055944056
TechPoint,2018,2,236,611.3333333333334,275,85.81818181818181
TechPoint,2019,2,341,837.1666666666666,384,88.80208333333334
TechPoint,2020,2,381,949.25,444,85.8108108108108
Total,2015,2,6231,20010.666666666668,6231,100
Total,2016,2,5992,19754.416666666668,6707,89.33949604890414
Total,2017,2,5892,20959,6772,87.00531600708801
Total,2018,2,6261,19246.083333333332,7276,86.05002748763056
Total,2019,2,6715,21936.666666666668,7667,87.58314855875831
Total,2020,2,6624,22489.333333333332,7639,86.71292053933762
Advanced & Traded Industries,2014,3,1642,6029.75,1642,100
Advanced & Traded Industries,2015,3,1809,6039.75,2030,89.11330049261083
Advanced & Traded Industries,2016,3,1648,5554.916666666667,2096,78.62595419847328
Advanced & Traded Industries,2017,3,1521,5306.5,2019,75.33432392273403
Advanced & Traded Industries,2018,3,1646,5769.5,2218,74.21100090171325
Advanced & Traded Industries,2019,3,1830,6701.166666666667,2457,74.48107448107449
AgriNovus,2014,3,181.739517628,890.5464149414166,181.739517628,100
AgriNovus,2015,3,174.744836118,631.3044615463333,188.992578852,92.46121576807657
AgriNovus,2016,3,151.304638221,805.1614462912501,174.612987016,86.65142313105025
AgriNovus,2017,3,122.525788505,514.5926451574167,150.647000627,81.33304214159048
AgriNovus,2018,3,147.525788505,639.947310122,181.905380341,81.10028863821842
AgriNovus,2019,3,194,931.5,211.174397035,91.86719731362439
BioX,2014,3,48.278,173.922,48.278,100
BioX,2015,3,66.818,290.02866666666665,66.232,100.884768691871
BioX,2016,3,53.558,161.87199999999999,52.097,102.8043841296044
BioX,2017,3,54.802,333.5903333333333,55.541,98.66945139626583
BioX,2018,3,59.915,237.14483333333334,78.68,76.15022877478393
BioX,2019,3,107,325.3333333333333,116.94,91.49991448606123
Conexus,2014,3,447,2681.4166666666665,447,100
Conexus,2015,3,457,2392.0833333333335,504,90.67460317460318
Conexus,2016,3,445,2385.8333333333335,560,79.46428571428571
Conexus,2017,3,442,2402.1666666666665,573,77.13787085514834
Conexus,2018,3,514,2372.5833333333335,701,73.32382310984308
Conexus,2019,3,489,2486.8333333333335,645,75.81395348837209
Other,2014,3,3332,14337.333333333334,3332,100
Other,2015,3,3576,14417.666666666666,4080,87.6470588235294
Other,2016,3,3464,14644.5,4506,76.87527740790058
Other,2017,3,3446,14699.583333333334,4667,73.83758302978359
Other,2018,3,3670,15533.5,4959,74.0068562210123
Other,2019,3,3808,16107.5,5099,74.68131006079624
TechPoint,2014,3,219,733.5833333333334,219,100
TechPoint,2015,3,256,546.1666666666666,285,89.82456140350877
TechPoint,2016,3,232,658.5833333333334,295,78.64406779661017
TechPoint,2017,3,203,633.0833333333334,286,70.97902097902097
TechPoint,2018,3,188,759.8333333333334,275,68.36363636363636
TechPoint,2019,3,282,925.8333333333334,384,73.4375
Total,2014,3,5091,20694.666666666668,5091,100
Total,2015,3,5497,20763.25,6231,88.22018937570213
Total,2016,3,5200,20498.166666666668,6707,77.53093782615178
Total,2017,3,5037,20209.25,6772,74.37979917306556
Total,2018,3,5398,21594.333333333332,7276,74.18911489829577
Total,2019,3,5774,23328.583333333332,7667,75.30976914047216
Advanced & Traded Industries,2013,4,1315,6305.583333333333,1315,100
Advanced & Traded Industries,2014,4,1477,6547.75,1642,89.95127892813642
Advanced & Traded Industries,2015,4,1595,6154.083333333333,2030,78.57142857142857
Advanced & Traded Industries,2016,4,1404,5467.166666666667,2096,66.98473282442748
Advanced & Traded Industries,2017,4,1353,5940.916666666667,2019,67.01337295690935
Advanced & Traded Industries,2018,4,1486,5882.166666666667,2218,66.99729486023445
AgriNovus,2013,4,122.117501548,623.3283411174167,122.117501548,100
AgriNovus,2014,4,172.739517628,916.9898949435,181.739517628,95.04785744043738
AgriNovus,2015,4,161.557699445,693.1678777564167,188.992578852,85.48362079947898
AgriNovus,2016,4,144.051576997,783.48390017025,174.612987016,82.49763059365132
AgriNovus,2017,4,119.652319117,710.574387738,150.647000627,79.42562322449258
AgriNovus,2018,4,164,841.1666666666666,181.905380341,90.1567615496394
BioX,2013,4,50.28,241.61516666666668,50.28,100
BioX,2014,4,50.494,158.57066666666665,48.278,104.59008243920627
BioX,2015,4,61.188,303.29083333333335,66.232,92.38434593549945
BioX,2016,4,46.253,156.93616666666668,52.097,88.78246348158243
BioX,2017,4,46.573,334.9501666666667,55.541,83.85336958283071
BioX,2018,4,67,312.5,78.68,85.155058464667
Conexus,2013,4,387,3181.75,387,100
Conexus,2014,4,411,2928.0833333333335,447,91.94630872483222
Conexus,2015,4,413,2453.9166666666665,504,81.94444444444444
Conexus,2016,4,395,2351,560,70.53571428571429
Conexus,2017,4,404,2879.9166666666665,573,70.50610820244329
Conexus,2018,4,487,2496.8333333333335,701,69.472182596291
Other,2013,4,2871,14071.25,2871,100
Other,2014,4,2970,14492.5,3332,89.13565426170467
Other,2015,4,3168,14601.666666666666,4080,77.64705882352942
Other,2016,4,3021,14030.166666666666,4506,67.0439414114514
Other,2017,4,3093,16093.916666666666,4667,66.27383758302979
Other,2018,4,3267,16032.416666666666,4959,65.88021778584393
TechPoint,2013,4,159,604.5,159,100
TechPoint,2014,4,191,780.3333333333334,219,87.21461187214612
TechPoint,2015,4,220,551.8333333333334,285,77.19298245614034
TechPoint,2016,4,194,651,295,65.76271186440678
TechPoint,2017,4,173,701,286,60.48951048951049
TechPoint,2018,4,168,719.5833333333334,275,61.09090909090909
Total,2013,4,4264,20655.25,4264,100
Total,2014,4,4556,21345.166666666668,5091,89.4912590846592
Total,2015,4,4868,21066.666666666668,6231,78.12550152463488
Total,2016,4,4509,19784.833333333332,6707,67.22826897271507
Total,2017,4,4511,22224.75,6772,66.61252215002953
Total,2018,4,4847,22314.25,7276,66.61627267729521
Advanced & Traded Industries,2012,5,1224,5739.25,1224,100
Advanced & Traded Industries,2013,5,1187,6788.083333333333,1315,90.26615969581749
Advanced & Traded Industries,2014,5,1328,7094.25,1642,80.87697929354447
Advanced & Traded Industries,2015,5,1390,5683.583333333333,2030,68.4729064039409
Advanced & Traded Industries,2016,5,1269,5796,2096,60.543893129770986
Advanced & Traded Industries,2017,5,1190,5899.833333333333,2019,58.94006934125805
AgriNovus,2012,5,127.101546078,619.2906683244166,127.101546078,100
AgriNovus,2013,5,111.990970936,643.2089785015834,122.117501548,91.70755175660089
AgriNovus,2014,5,159.739517628,909.4602859870834,181.739517628,87.89476263218026
AgriNovus,2015,5,148.996289426,622.45978199325,188.992578852,78.83711113475991
AgriNovus,2016,5,137.051576997,785.6884741994166,174.612987016,78.48876497625106
AgriNovus,2017,5,131,986.5,150.647000627,86.95825303840883
BioX,2012,5,34.272,128.71833333333333,34.272,100
BioX,2013,5,54.173,243.03791666666666,50.28,107.74264120922832
BioX,2014,5,44.971000000000004,136.177,48.278,93.15008906748416
