cohort_year,cicp_initiative,New_Establishments,Initial_Employment,Survival_Rate_Year_1,Years_Tracked,Current_Survival_Rate
2022,Advanced & Traded Industries,4530,6418.916666666667,0,0,100
2021,Advanced & Traded Industries,3743,4858.75,95.80550360673257,1,95.80550360673257
2020,Advanced & Traded Industries,2614,3815.4166666666665,99.27314460596787,2,85.76893649579189
2019,Advanced & Traded Industries,2515,4041.1666666666665,98.60834990059642,3,75.1093439363817
2018,Advanced & Traded Industries,2268,3696.25,98.32451499118166,4,67.1957671957672
2017,Advanced & Traded Industries,2056,3322,98.97859922178989,5,59.38715953307393
2016,Advanced & Traded Industries,0,0,NA,6,NA
2015,Advanced & Traded Industries,0,0,NA,7,NA
2022,AgriNovus,265,634,0,0,100
2021,AgriNovus,233.366852198,434.35702239525,108.41299765458645,1,108.41299765458645
2020,AgriNovus,162.306246137,428.2162570055833,101.23223846746589,2,103.50803126713559
2019,AgriNovus,221.174397035,512.5088719005834,98.19147240656115,3,92.68703916374169
2018,AgriNovus,193.905380341,447.97488762641666,97.42142276237665,4,89.73448786929242
2017,AgriNovus,159.647000627,355.2461881826667,99.45287453909592,5,86.44070947654309
2016,AgriNovus,0,0,NA,6,NA
2015,AgriNovus,0,0,NA,7,NA
2022,BioX,252,327.0833333333333,0,0,100
2021,BioX,178.179,188.7195,115.614073487897,1,115.614073487897
2020,BioX,113.153,116.03399999999999,103.11348351347291,2,104.28358063860436
2019,BioX,117.724,126.74975,97.45166661003704,3,93.43889096530869
2018,BioX,78.68,92.92516666666667,100.99644128113879,4,85.155058464667
2017,BioX,55.541,70.64958333333334,111.5482256351164,5,88.22311445598747
2016,BioX,0,0,NA,6,NA
2015,BioX,0,0,NA,7,NA
2022,Conexus,897,3066,0,0,100
2021,Conexus,909,1908.5833333333333,98.56985698569856,1,98.56985698569856
2020,Conexus,691,1710.0833333333333,98.98697539797395,2,88.85672937771346
2019,Conexus,689,1872.3333333333333,97.677793904209,3,77.79390420899854
2018,Conexus,727,1481.8333333333333,97.79917469050893,4,69.46354883081155
2017,Conexus,599,1453,99.1652754590985,5,64.77462437395658
2016,Conexus,0,0,NA,6,NA
2015,Conexus,0,0,NA,7,NA
2022,TechPoint,1059,826.5833333333334,0,0,100
2021,TechPoint,719,820.3333333333334,97.77468706536857,1,97.77468706536857
2020,TechPoint,448,451.5,99.10714285714286,2,85.9375
2019,TechPoint,386,413.4166666666667,100,3,73.05699481865285
2018,TechPoint,283,554.9166666666666,96.46643109540636,4,61.83745583038869
2017,TechPoint,288,355.4166666666667,99.65277777777779,5,54.861111111111114
2016,TechPoint,0,0,NA,6,NA
2015,TechPoint,0,0,NA,7,NA
