cicp_initiative,sector_name,New_Establishments_2022,New_Employment_2022,Avg_Initial_Wage,Pct_of_Initiative
Advanced & Traded Industries,All Other,2871,2457.3333333333335,93114.66901790559,63.377483443708606
Advanced & Traded Industries,Logistics,1321,2436.75,60393.65302144249,29.161147902869754
Advanced & Traded Industries,Manufacturing,338,1524.8333333333333,54201.8614056181,7.4613686534216335
AgriNovus,Agricultural Production and Distribution,120,236.08333333333334,48396.32615601835,45.28301886792453
AgriNovus,Value-Added Food and Nutrition,79,294.25,27958.151231945623,29.81132075471698
AgriNovus,Animal Health and Nutrition,29,45.25,38984.3093922652,10.943396226415095
AgriNovus,"Agricultural Equipment, Technologies, and Systems",16,27.166666666666668,72882.5153374233,6.037735849056604
AgriNovus,Plant Science and Crop Protection,15,10,110512.2,5.660377358490567
AgriNovus,Biomass Processing,6,21.25,44113.83529411765,2.2641509433962264
BioX,Bio-Logistics,126,201.58333333333334,73463.83629599007,50
BioX,Research/Testing,112,116.58333333333333,150220.9492494639,44.44444444444444
BioX,MedDev,10,7.083333333333334,58303.62352941176,3.968253968253968
BioX,Pharma,3,1.3333333333333333,247870.5,1.1904761904761905
BioX,Ag/Biotech,1,0.5,59232,0.3968253968253968
Conexus,Logistics,559,1541.1666666666667,47548.30972207202,62.31884057971014
Conexus,Manufacturing,338,1524.8333333333333,54201.8614056181,37.68115942028986
TechPoint,IT/Tech Services,857,661.3333333333334,100665.61693548386,80.92540132200189
TechPoint,"Telecommunications, Internet Services and Data Hosting",123,104.08333333333333,98307.87189751802,11.614730878186968
TechPoint,Software,61,43.75,124426.08,5.760151085930123
TechPoint,"Manufacturing: Computer, Peripheral and Communications Equipment",18,17.416666666666668,82749.81818181818,1.69971671388102
