statefips,countyfips,metrofips,geo_area,year,initiative,naics_title,naics_code,jobs,yoy_change,yoy_growth,contribution_pct
0,000,00000,United States,2023,Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",5416,1706581.3464538,1541385.9060548001,933.0680691500071,368.1994747023849
0,000,00000,United States,2023,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,1674761.5012528,63626.2277745998,3.9491549109492485,15.198752987085534
0,000,00000,United States,2023,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,1655654.83181553,53884.073127769865,3.364031515465671,12.871590003862662
0,000,00000,United States,2023,Advanced & Traded Industries,Management of Companies and Enterprises,5511,2554606.9142990597,47174.76755230967,1.881397572951915,11.268900645669971
0,000,00000,United States,2023,Advanced & Traded Industries,Aerospace Product and Parts Manufacturing,3364,537639.81121325,37464.489558840054,7.49027149818593,8.949352216970034
0,000,00000,United States,2023,Advanced & Traded Industries,Scientific Research and Development Services,5417,926363.8313347,35845.689510100055,4.025262128478957,8.562660392909025
0,000,00000,United States,2023,Advanced & Traded Industries,"Machinery, Equipment, and Supplies Merchant Wholesalers",4238,762944.3810989,33757.451744499966,4.629464734699473,8.063831355140271
0,000,00000,United States,2023,Advanced & Traded Industries,Other Financial Investment Activities,5239,594370.0909835999,28824.63473229995,5.096784778957142,6.885501758664474
0,000,00000,United States,2023,Advanced & Traded Industries,Depository Credit Intermediation,5221,1797807.3263946,27931.880737700034,1.578183414332468,6.67224461743922
0,000,00000,United States,2023,Advanced & Traded Industries,"Other Professional, Scientific, and Technical Services",5419,866208.412021,23974.727890699985,2.8465648361543083,5.726977378482992
0,000,00000,United States,2023,Advanced & Traded Industries,Couriers and Express Delivery Services,4921,896537.340017,-29367.272730999975,-3.1717384627602874,-7.015124733216183
0,000,00000,United States,2023,Advanced & Traded Industries,Activities Related to Credit Intermediation,5223,291423.1355312,-34652.59308860003,-10.627161130721419,-8.277658775896715
0,000,00000,United States,2023,Advanced & Traded Industries,Warehousing and Storage,4931,1863671.79318917,-44715.194502929924,-2.3430884192417456,-10.68136867121998
0,000,00000,United States,2023,Advanced & Traded Industries,Nondepository Credit Intermediation,5222,535027.4865646,-57598.32450529991,-9.719172440585144,-13.758834009888076
0,000,00000,United States,2023,Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",5416,165195.440399,-1497330.4650165,-90.06358698767379,-357.67570503226875
0,000,00000,United States,2023,AgriNovus,Poultry Processing,311615,242305.297918,8746.653814999998,3.7449497314013813,9.497928482669222
0,000,00000,United States,2023,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,243097.268956,7924.8550970000215,3.369806418601229,8.605543164145782
0,000,00000,United States,2023,AgriNovus,Retail Bakeries,311811,101258.075328,4907.002752400003,5.092836666192602,5.328479003779604
0,000,00000,United States,2023,AgriNovus,Animal Production and Aquaculture,112000,309692.187736,4634.279457999975,1.5191474576613073,5.032330739476838
0,000,00000,United States,2023,AgriNovus,Commercial Bakeries,311812,143028.04206,4632.317395999999,3.3471535390608542,5.030200150459769
0,000,00000,United States,2023,AgriNovus,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,424820,99053.1132161,4451.4414936999965,4.7054575385965025,4.833788308786384
0,000,00000,United States,2023,AgriNovus,Breweries,312120,109996.727811,4337.442655000006,4.10512208992897,4.709997789579715
0,000,00000,United States,2023,AgriNovus,Farm and Garden Machinery and Equipment Merchant Wholesalers,423820,117416.537808,3494.666376999987,3.0675991652021173,3.79483308949671
0,000,00000,United States,2023,AgriNovus,Meat Processed from Carcasses,311612,151132.404278,3469.143750999996,2.3493614719185096,3.767118253450255
0,000,00000,United States,2023,AgriNovus,General Line Grocery Merchant Wholesalers,424410,258697.048064,3213.586632999999,1.257845269122404,3.4896106166625254
0,000,00000,United States,2023,AgriNovus,Confectionery Merchant Wholesalers,424450,63109.9694322,3196.420797300001,5.335055042021097,3.4709703591112055
0,000,00000,United States,2023,AgriNovus,Animal (except Poultry) Slaughtering,311611,147822.490439,2944.438620000001,2.032356580607919,3.197344724723082
0,000,00000,United States,2023,AgriNovus,Bottled Water Manufacturing,312112,21417.376958,2705.3594994000014,14.457871821601076,2.9377304268227773
0,000,00000,United States,2023,AgriNovus,Fresh Fruit and Vegetable Merchant Wholesalers,424480,95802.6489596,2607.558363700009,2.7979567883104073,2.831528876830101
0,000,00000,United States,2023,AgriNovus,Crop Production,111000,591999.71163,-3240.583893999923,-0.5444160817686505,-3.5189267482516695
0,000,00000,United States,2023,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,492042.119129901,21756.769565453986,4.626291162504614,56.204914549706906
0,000,00000,United States,2023,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,300673.854317421,9847.778478776978,3.386140135604876,25.440061137704717
0,000,00000,United States,2023,BioCrossroads,Research and Development in Biotechnology (except Nanobiotechnology),541714,291215.895204,9791.572833999991,3.47929160903393,25.29486341189354
0,000,00000,United States,2023,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,244524.595447248,3830.0053941120277,1.5912303609592948,9.894167663695216
0,000,00000,United States,2023,BioCrossroads,Farm Supplies Merchant Wholesalers,424910,101444.568775644,1336.716108995999,1.335275978246342,3.4531787661450624
0,000,00000,United States,2023,BioCrossroads,Medicinal and Botanical Manufacturing,325411,42413.8705268,1201.2320936999968,2.9147177646729583,3.103178850962153
