statefips,countyfips,metrofips,geo_area,year,initiative,naics_title,naics_code,jobs,grp,gdp_per_job
0,000,00000,United States,2023,Advanced & Traded Industries,Tobacco Manufacturing,3122,10842.9309044,33891768101.6,3125701.7498697615
0,000,00000,United States,2023,Advanced & Traded Industries,Petroleum and Coal Products Manufacturing,3241,108121.06019690998,209065740396.02,1933626.4370259563
0,000,00000,United States,2023,Advanced & Traded Industries,Petroleum and Petroleum Products Merchant Wholesalers,4247,102623.6046561,188122280154.5,1833128.750299826
0,000,00000,United States,2023,Advanced & Traded Industries,Insurance and Employee Benefit Funds,5251,11894.2630334,19186580313.4,1613095.3434880846
0,000,00000,United States,2023,Advanced & Traded Industries,Other Financial Investment Activities,5239,594370.0909836,451528241107.2,759675.239310887
0,000,00000,United States,2023,Advanced & Traded Industries,Basic Chemical Manufacturing,3251,154301.79337116997,115730251373.69,750025.3162664359
0,000,00000,United States,2023,Advanced & Traded Industries,Drugs and Druggists' Sundries Merchant Wholesalers,4242,259580.249944,175747168027,677043.6813467683
0,000,00000,United States,2023,Advanced & Traded Industries,Pharmaceutical and Medicine Manufacturing,3254,347220.8584472,225043577154.2,648128.0478385235
0,000,00000,United States,2023,Advanced & Traded Industries,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",3253,37991.53307688,20966533585.968,551873.8489320748
0,000,00000,United States,2023,Advanced & Traded Industries,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",3256,114707.89526764,63070372855.149994,549834.6274072265
0,000,00000,United States,2023,AgriNovus,Tobacco Manufacturing,312230,10842.9309044,33891768101.6,3125701.7498697615
0,000,00000,United States,2023,AgriNovus,Shellfish Fishing,114112,3344.00102208,3135432338.81,937629.0013391598
0,000,00000,United States,2023,AgriNovus,Ethyl Alcohol Manufacturing,325193,10175.33029,8771060278.79,861992.6851327792
0,000,00000,United States,2023,AgriNovus,Biological Product (except Diagnostic) Manufacturing,325414,900.285129764,747748672.896,830568.7255903186
0,000,00000,United States,2023,AgriNovus,Pharmaceutical Preparation Manufacturing,325412,4566.310787400001,3166110827.26,693362.9738905142
0,000,00000,United States,2023,AgriNovus,Pesticide and Other Agricultural Chemical Manufacturing,325320,14812.7854201,9549540753.99,644682.3121485232
0,000,00000,United States,2023,AgriNovus,Finfish Fishing,114111,4962.74517307,3084740468.58,621579.460762792
0,000,00000,United States,2023,AgriNovus,Nitrogenous Fertilizer Manufacturing,325311,8922.12393806,4899126650.27,549098.6993995123
0,000,00000,United States,2023,AgriNovus,Phosphatic Fertilizer Manufacturing,325312,5889.53292562,3119060789.6,529593.9133019876
0,000,00000,United States,2023,AgriNovus,Soybean and Other Oilseed Processing,311224,9911.78802425,5236795541.15,528340.1469379441
0,000,00000,United States,2023,BioCrossroads,Ethyl Alcohol Manufacturing,325193,10175.33029,8771060278.79,861992.6851327792
0,000,00000,United States,2023,BioCrossroads,Biological Product (except Diagnostic) Manufacturing,325414,45014.2564882,37387433644.8,830568.7255903186
0,000,00000,United States,2023,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,228315.53937,158305541363,693362.9738905142
0,000,00000,United States,2023,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,244524.595447248,165553832281.434,677043.6813467683
0,000,00000,United States,2023,BioCrossroads,Pesticide and Other Agricultural Chemical Manufacturing,325320,14812.7854201,9549540753.99,644682.3121485232
0,000,00000,United States,2023,BioCrossroads,Nitrogenous Fertilizer Manufacturing,325311,8922.12393806,4899126650.27,549098.6993995123
0,000,00000,United States,2023,BioCrossroads,Phosphatic Fertilizer Manufacturing,325312,5889.53292562,3119060789.6,529593.9133019876
0,000,00000,United States,2023,BioCrossroads,In-Vitro Diagnostic Substance Manufacturing,325413,31477.1920622,14699733897.9,466996.35306900396
0,000,00000,United States,2023,BioCrossroads,Fertilizer (Mixing Only) Manufacturing,325314,7311.38852959,3003158634.43,410750.7927223241
0,000,00000,United States,2023,BioCrossroads,Compost Manufacturing,325315,1055.70226351,395646757.678,374771.15599103976
0,000,00000,United States,2023,Conexus,Tobacco Manufacturing,3122,10842.9309044,33891768101.6,3125701.7498697615
0,000,00000,United States,2023,Conexus,Petroleum and Coal Products Manufacturing,3241,67098.26553721,183611602647.4,2736458.2553266804
0,000,00000,United States,2023,Conexus,Petroleum and Petroleum Products Merchant Wholesalers,4247,102623.6046561,188122280154.5,1833128.750299826
0,000,00000,United States,2023,Conexus,Basic Chemical Manufacturing,3251,42284.9535917,39749834975.8,940046.7920485643
0,000,00000,United States,2023,Conexus,Basic Chemical Manufacturing,3251,10175.33029,8771060278.79,861992.6851327792
0,000,00000,United States,2023,Conexus,Basic Chemical Manufacturing,3251,91551.05668267,64544128501.17,705006.9200718224
0,000,00000,United States,2023,Conexus,Drugs and Druggists' Sundries Merchant Wholesalers,4242,259580.249944,175747168027,677043.6813467683
0,000,00000,United States,2023,Conexus,Pharmaceutical and Medicine Manufacturing,3254,347220.8584472,225043577154.2,648128.0478385235
0,000,00000,United States,2023,Conexus,Petroleum and Coal Products Manufacturing,3241,41022.794659700005,25454137748.620003,620487.6571616329
0,000,00000,United States,2023,Conexus,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",3253,37991.53307688,20966533585.968,551873.8489320748
0,000,00000,United States,2023,TechPoint,Wireless Telecommunications Carriers (except Satellite),517112,88346.0496308,137340716341,1554576.7684571042
0,000,00000,United States,2023,TechPoint,Software Publishers,513210,650182.816757,356778951094,548736.3582961974
0,000,00000,United States,2023,TechPoint,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518210,486637.971287,223190946151,458638.5759432873
0,000,00000,United States,2023,TechPoint,All Other Telecommunications,517810,45970.8694611,21008426833.3,456994.333141275
0,000,00000,United States,2023,TechPoint,Electronic Computer Manufacturing,334111,115898.199094,48346802032.8,417148.863491727
0,000,00000,United States,2023,TechPoint,All Other Publishers,513199,47182.3506999,19250364817.1,407999.2737017403
0,000,00000,United States,2023,TechPoint,Wired Telecommunications Carriers,517111,475308.609868,193245494303,406568.4700234381
0,000,00000,United States,2023,TechPoint,Irradiation Apparatus Manufacturing,334517,13942.0657451,5086329857.69,364818.95514498005
0,000,00000,United States,2023,TechPoint,Satellite Telecommunications,517410,9398.97980714,3376891640.64,359282.7849331819
0,000,00000,United States,2023,TechPoint,Book Publishers,513130,54961.7235014,19603615912,356677.60512460367
