statefips,countyfips,metrofips,geo_area,year,initiative,total_industries,top5_concentration,top10_concentration,herfindahl_index
0,000,00000,United States,2023,Advanced & Traded Industries,143,24.149366147041345,39.62145484743583,225.1690073221965
0,000,00000,United States,2023,AgriNovus,100,33.1087409262773,48.434962769214636,356.9807688481119
0,000,00000,United States,2023,BioCrossroads,26,61.667361419873025,87.45422916814506,999.0857439012224
0,000,00000,United States,2023,Conexus,146,22.213477796728935,34.44606918860496,201.89918808246944
0,000,00000,United States,2023,TechPoint,42,64.29695974652195,77.78698217298862,1011.7723076307294
00,000,14020,Bloomington MSA,2023,Advanced & Traded Industries,143,58.759076254347065,72.22409565279847,1359.4633439397119
00,000,14020,Bloomington MSA,2023,AgriNovus,100,67.6570423101215,86.34810752257104,1169.7296602007186
00,000,14020,Bloomington MSA,2023,BioCrossroads,26,98.13744282936966,99.79910655009216,4659.687944352
00,000,14020,Bloomington MSA,2023,Conexus,146,73.78766194106552,83.63636862523298,2171.6484992402748
00,000,14020,Bloomington MSA,2023,TechPoint,42,77.92650283205475,91.98183003337395,1425.43613597915
00,000,16980,Chicago-Naperville-Elgin MSA,2023,Advanced & Traded Industries,143,23.47884289365415,38.980480882849804,225.6345453881805
00,000,16980,Chicago-Naperville-Elgin MSA,2023,AgriNovus,100,36.35251247026107,53.606398355517044,406.13226827607303
00,000,16980,Chicago-Naperville-Elgin MSA,2023,BioCrossroads,26,72.57499532958602,91.14691130869535,1293.9405923520867
00,000,16980,Chicago-Naperville-Elgin MSA,2023,Conexus,146,25.224540030585533,39.263773623833146,237.0281172822784
00,000,16980,Chicago-Naperville-Elgin MSA,2023,TechPoint,42,60.30415277736937,76.12187874927241,1022.1108761157308
00,000,17140,Cincinnati MSA,2023,Advanced & Traded Industries,143,28.013954711916455,41.958164260392216,285.3104244246633
00,000,17140,Cincinnati MSA,2023,AgriNovus,100,30.816264308711556,51.48094199441026,369.7154357670048
00,000,17140,Cincinnati MSA,2023,BioCrossroads,26,80.85982393181901,95.63847176373673,1423.495290138627
00,000,17140,Cincinnati MSA,2023,Conexus,146,26.671649362192362,40.69318281355708,264.4239529305403
00,000,17140,Cincinnati MSA,2023,TechPoint,42,69.66418587388688,84.59993013984096,1223.9086363403362
00,000,18020,Columbus MSA,2023,Advanced & Traded Industries,143,60.47020912801406,72.66899236280504,1302.1298358552588
00,000,18020,Columbus MSA,2023,AgriNovus,100,76.33211038402881,89.45504501526689,3253.75493336431
00,000,18020,Columbus MSA,2023,BioCrossroads,26,95.0803675439435,99.68052865632436,3413.3338272673136
00,000,18020,Columbus MSA,2023,Conexus,146,68.44507613682248,80.17736080727252,1653.8884075430617
00,000,18020,Columbus MSA,2023,TechPoint,42,85.78338182646588,97.11602211478525,2654.805372947707
00,000,21140,Elkhart-Goshen MSA,2023,Advanced & Traded Industries,143,56.13549459348477,68.72828144726743,1594.6478481614317
00,000,21140,Elkhart-Goshen MSA,2023,AgriNovus,100,56.75716086257929,77.58362505837437,1043.9397421920296
00,000,21140,Elkhart-Goshen MSA,2023,BioCrossroads,26,82.25314731995321,99.72315777313922,1521.9953660594413
00,000,21140,Elkhart-Goshen MSA,2023,Conexus,146,60.2941339769819,71.826528749818,1835.026338320653
00,000,21140,Elkhart-Goshen MSA,2023,TechPoint,42,59.3736372864206,83.42913279328553,1061.593549300563
00,000,21780,Evansville MSA,2023,Advanced & Traded Industries,143,33.73180357373622,49.161731790817306,359.00337999301206
00,000,21780,Evansville MSA,2023,AgriNovus,100,53.03983290506479,72.57309925457426,737.2240933431191
00,000,21780,Evansville MSA,2023,BioCrossroads,26,92.84934760272887,99.6333767901183,4696.081260107692
00,000,21780,Evansville MSA,2023,Conexus,146,36.95821298790531,50.33621873640411,438.4969033848012
00,000,21780,Evansville MSA,2023,TechPoint,42,71.33654827566733,96.41969097799468,1212.956992796481
00,000,23060,Fort Wayne MSA,2023,Advanced & Traded Industries,143,24.378954131987726,40.03695619136687,241.64864137389836
00,000,23060,Fort Wayne MSA,2023,AgriNovus,100,48.86844228848985,69.27923584532499,679.4550345837029
00,000,23060,Fort Wayne MSA,2023,BioCrossroads,26,84.04394562009072,98.76441442911442,2195.65363531915
00,000,23060,Fort Wayne MSA,2023,Conexus,146,30.755335385260032,44.05867694209196,295.24869814397283
00,000,23060,Fort Wayne MSA,2023,TechPoint,42,62.97441741877723,87.36689458068062,1031.302765974877
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,Advanced & Traded Industries,143,30.666503684390726,48.83805028682983,343.275749758904
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,AgriNovus,100,33.69852637215407,54.57574430260348,399.95010775387175
