initiative,sector_name,job_change,growth_rate
Advanced & Traded Industries,Manufacturing,272080.0386707294,NA
Advanced & Traded Industries,Logistics,-230991.4695096627,NA
Advanced & Traded Industries,Advanced and Traded Services,-35882.96449408872,NA
AgriNovus,Animal Health and Nutrition,-62080.4530704043,NA
AgriNovus,Value-Added Food and Nutrition,44096.2090574037,NA
AgriNovus,"Agricultural Production, Distribution and Processing",15389.210140690599,NA
BioCrossroads,Pharma,19384.721659159826,NA
BioCrossroads,Ag/Bio,-10976.323991735713,NA
BioCrossroads,Research/Testing,-8169.621017515741,NA
Conexus,Manufacturing,237249.69024849043,NA
Conexus,Logistics,-230991.46950966277,NA
TechPoint,IT/Tech Services,28858.904523854173,NA
TechPoint,"Telecommunications, Internet Services and Data Hosting",-25337.813172589,NA
TechPoint,Software,-13711.71362354,NA
