statefips,countyfips,metrofips,display_level,geo_area,year,initiative,naics_title,naics_code,jobs
0,000,00000,2,United States,2023,Advanced & Traded Industries,Management of Companies and Enterprises,5511,2554606.9142990597
0,000,00000,2,United States,2023,Advanced & Traded Industries,Computer Systems Design and Related Services,5415,2487162.1642901
0,000,00000,2,United States,2023,Advanced & Traded Industries,Warehousing and Storage,4931,1863671.79318917
0,000,00000,2,United States,2023,Advanced & Traded Industries,Depository Credit Intermediation,5221,1797807.3263946
0,000,00000,2,United States,2023,Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",5416,1706581.3464538
0,000,00000,2,United States,2023,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,1674761.5012528
0,000,00000,2,United States,2023,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,1655654.83181553
0,000,00000,2,United States,2023,Advanced & Traded Industries,Insurance Carriers,5241,1295309.4710324
0,000,00000,2,United States,2023,Advanced & Traded Industries,General Freight Trucking,4841,1117311.337235
0,000,00000,2,United States,2023,Advanced & Traded Industries,Scientific Research and Development Services,5417,926363.8313347
0,000,00000,3,United States,2023,AgriNovus,Crop Production,111000,591999.71163
0,000,00000,3,United States,2023,AgriNovus,Farm Labor Contractors and Crew Leaders,115115,334412.845085
0,000,00000,3,United States,2023,AgriNovus,Animal Production and Aquaculture,112000,309692.187736
0,000,00000,3,United States,2023,AgriNovus,General Line Grocery Merchant Wholesalers,424410,258697.048064
0,000,00000,3,United States,2023,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,243097.268956
0,000,00000,3,United States,2023,AgriNovus,Poultry Processing,311615,242305.297918
0,000,00000,3,United States,2023,AgriNovus,Meat Processed from Carcasses,311612,151132.404278
0,000,00000,3,United States,2023,AgriNovus,Animal (except Poultry) Slaughtering,311611,147822.490439
0,000,00000,3,United States,2023,AgriNovus,Commercial Bakeries,311812,143028.04206
0,000,00000,3,United States,2023,AgriNovus,Farm Supplies Merchant Wholesalers,424910,120194.986701
0,000,00000,2,United States,2023,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,492042.119129901
0,000,00000,2,United States,2023,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,300673.854317421
0,000,00000,2,United States,2023,BioCrossroads,Research and Development in Biotechnology (except Nanobiotechnology),541714,291215.895204
0,000,00000,2,United States,2023,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,244524.595447248
0,000,00000,2,United States,2023,BioCrossroads,Medical Laboratories,621511,232227.498609
0,000,00000,2,United States,2023,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,228315.53937
0,000,00000,2,United States,2023,BioCrossroads,Surgical and Medical Instrument Manufacturing,339112,143354.922872
0,000,00000,2,United States,2023,BioCrossroads,Surgical Appliance and Supplies Manufacturing,339113,104241.934652
0,000,00000,2,United States,2023,BioCrossroads,Farm Supplies Merchant Wholesalers,424910,101444.568775644
0,000,00000,2,United States,2023,BioCrossroads,Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,75259.7511244
0,000,00000,3,United States,2023,Conexus,Warehousing and Storage,4931,1863671.79318917
0,000,00000,3,United States,2023,Conexus,General Freight Trucking,4841,1117311.337235
0,000,00000,3,United States,2023,Conexus,Couriers and Express Delivery Services,4921,896537.340017
0,000,00000,3,United States,2023,Conexus,Grocery and Related Product Merchant Wholesalers,4244,815886.0992692001
0,000,00000,3,United States,2023,Conexus,"Machinery, Equipment, and Supplies Merchant Wholesalers",4238,762944.3810989
0,000,00000,3,United States,2023,Conexus,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,747112.0773771001
0,000,00000,3,United States,2023,Conexus,Plastics Product Manufacturing,3261,600716.5559047001
0,000,00000,3,United States,2023,Conexus,Motor Vehicle Parts Manufacturing,3363,569628.0188873999
0,000,00000,3,United States,2023,Conexus,Animal Slaughtering and Processing,3116,549624.91715494
0,000,00000,3,United States,2023,Conexus,Aerospace Product and Parts Manufacturing,3364,537639.81121325
0,000,00000,2,United States,2023,TechPoint,Computer Systems Design Services,541512,1153194.64801
0,000,00000,2,United States,2023,TechPoint,Custom Computer Programming Services,541511,1121550.13108
0,000,00000,2,United States,2023,TechPoint,Software Publishers,513210,650182.816757
0,000,00000,2,United States,2023,TechPoint,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518210,486637.971287
0,000,00000,2,United States,2023,TechPoint,Wired Telecommunications Carriers,517111,475308.609868
0,000,00000,2,United States,2023,TechPoint,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,236040.892457
0,000,00000,2,United States,2023,TechPoint,Semiconductor and Related Device Manufacturing,334413,203893.851
0,000,00000,2,United States,2023,TechPoint,Other Computer Related Services,541519,131937.71213
0,000,00000,2,United States,2023,TechPoint,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511,127726.99907
0,000,00000,2,United States,2023,TechPoint,Electronic Computer Manufacturing,334111,115898.199094
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Medical Equipment and Supplies Manufacturing,3391,5754.072222928925
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Pharmaceutical and Medicine Manufacturing,3254,2937.9589005049
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Plastics Product Manufacturing,3261,775.459888395
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,686.1571208026901
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Depository Credit Intermediation,5221,557.474650092
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,528.907553491388
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Management of Companies and Enterprises,5511,521.32945036141
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Grocery and Related Product Merchant Wholesalers,4244,520.4829437008
00,000,14020,2,Bloomington MSA,2023,Advanced & Traded Industries,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,444.697731535528
