geo_area,geo_type,jobs_growth,gdp_growth,total_jobs,total_jobs_start,total_jobs_end,total_grp,total_grp_start,total_grp_end,gdp_per_job
Bloomington MSA,Metro,-0.05344707544766569,3.659489807933891,79724.2590322105,79766.89210321516,79724.2590322105,10113738863.162767,9756693653.3279,10113738863.162767,126858.98854295499
Chicago-Naperville-Elgin MSA,Metro,0.30386809948350635,4.92966384503728,4645443.453051177,4631370.196455163,4645443.453051177,833441089053.8528,794285484688.7712,833441089053.8528,179410.44756587013
Cincinnati MSA,Metro,0.36749919190000035,6.351810325144847,1138616.9851873403,1134447.8983284568,1138616.9851873403,177899467389.8029,167274507924.142,177899467389.8029,156241.71227388858
Columbus MSA,Metro,-0.3244497337863139,8.598934035930107,52070.975468411554,52240.46953273925,52070.975468411554,7477016100.917911,6884981116.337781,7477016100.917911,143592.77954095142
Elkhart-Goshen MSA,Metro,-3.1179735971325173,3.4434494017418826,131176.57622545544,135398.25816605022,131176.57622545544,16855279543.078957,16294197110.170158,16855279543.078957,128493.05895977569
Evansville MSA,Metro,0.36976295056931896,5.701932535944021,139731.42573401198,139216.65412603167,139731.42573401198,19065074740.716713,18036637820.442516,19065074740.716713,136440.85173086508
Fort Wayne MSA,Metro,0.5644033132266468,5.196651569126987,234694.59780000613,233377.4079770611,234694.59780000613,30725040375.233932,29207241786.630295,30725040375.233932,130914.98766160833
Indiana,State,0.6833153310415119,6.275220445046137,3337511.0598066975,3314860.112455708,3337511.0598066975,459085708914.0314,431978129042.2446,459085708914.0314,137553.31463699203
Indianapolis-Carmel-Greenwood MSA,Metro,1.2607174608091798,7.613689038893368,1142751.6617667535,1128524.1606243125,1142751.6617667535,182286462544.4111,169389660527.7882,182286462544.4111,159515.3773503044
Kokomo MSA,Metro,2.0124146992349656,8.064127786403684,37432.99434894572,36694.54787371722,37432.99434894572,4779004109.694856,4422377904.294839,4779004109.694856,127668.22940066118
Lafayette-West Lafayette MSA,Metro,0.20911406608630223,5.805758203649591,111477.42591740243,111244.79739825347,111477.42591740243,13995435013.857635,13227479535.584375,13995435013.857635,125545.01414687623
Louisville/Jefferson County MSA,Metro,0.933983618736689,5.794675512043002,715669.0752638223,709046.6952807067,715669.0752638223,101162536825.2671,95621576734.0308,101162536825.2671,141353.79090954128
Michigan City-La Porte MSA,Metro,-0.6266427177047729,3.9532300639631757,42206.83298367263,42472.98686284033,42206.83298367263,5303042497.752956,5101373468.13558,5303042497.752956,125644.16998082738
Muncie MSA,Metro,0.9204063670983809,3.837231277375852,47960.3901747576,47522.98558955608,47960.3901747576,4891960219.565453,4711181297.291887,4891960219.565453,102000.00879351013
South Bend-Mishawaka MSA,Metro,0.4079223490425443,3.8908392129604064,145032.97626005253,144443.75788982303,145032.97626005253,17175454638.567707,16532212819.41966,17175454638.567707,118424.47891141061
Terre Haute MSA,Metro,0.728163671342652,5.396276539293732,68207.29385324728,67714.22347755196,68207.29385324728,8254756417.471583,7832113892.936296,8254756417.471583,121024.54079518627
United States,US,1.1854532318775313,6.059912710990378,163254622.45118114,161341988.63256097,163254622.45118114,26164255274939.66,24669316244146.227,26164255274939.66,160266.55099927532
