statefips,countyfips,metrofips,geo_area,year,initiative,n_industries,min_wage,q25_wage,median_wage,q75_wage,max_wage,weighted_avg_wage
0,000,00000,United States,2024,Advanced & Traded Industries,145,9132.68012730862,82420.92025492544,99334.19710131444,127256.58192477276,342898.3252584581,126847.17355766293
0,000,00000,United States,2024,AgriNovus,100,37052.8685643,72838.805951475,87558.3667264,98310.254170325,185284.123621,NA
0,000,00000,United States,2024,BioCrossroads,26,96055.5925393,129508.733016,143701.95663899998,160551.98803075,259599.143135,169333.76812802185
0,000,00000,United States,2024,Conexus,122,58209.3116037,80234.1948866757,93764.9697617866,113436.71525990336,240850.67871001296,100491.51715073969
0,000,00000,United States,2024,Finance & Insurance,35,86213.9881275,127291.70082150001,143384.120347,190944.84115,416974.87936,162012.21734709342
0,000,00000,United States,2024,Healthcare,28,48836.4338986,63399.449565799994,76759.71747375,97755.09336292499,157546.980382,90254.28263410406
0,000,00000,United States,2024,TechPoint,40,87748.2411707,128964.32457649999,160281.096507,200346.39327475,371985.860664,201396.26599808948
00,000,14020,Bloomington MSA,2024,Advanced & Traded Industries,145,0,0,57187.61529632677,83354.1154391818,226433.60055083968,93941.0592741071
00,000,14020,Bloomington MSA,2024,AgriNovus,100,0,0,0,31333.887884275,121190.248231,NA
00,000,14020,Bloomington MSA,2024,BioCrossroads,26,0,0,26546.24889615,108729.550024,390896.614507,99421.85890479412
00,000,14020,Bloomington MSA,2024,Conexus,122,0,0,0,70414.61127627105,224482.268457,93288.75969909478
00,000,14020,Bloomington MSA,2024,Finance & Insurance,35,0,0,72759.7290769,110987.0894545,532600.758447,87960.60201565431
00,000,14020,Bloomington MSA,2024,Healthcare,28,0,46102.9791004,56981.25818095,71172.065259725,156907.273391,84716.51776821511
00,000,14020,Bloomington MSA,2024,TechPoint,40,0,0,0,117658.9869185,273556.259824,110780.3564772502
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,145,7481.019660205489,88347.4478824091,103918.1170541044,128605.85036533048,387798.19639935193,133701.83831194264
00,000,16980,Chicago-Naperville-Elgin MSA,2024,AgriNovus,100,0,67019.3890117,88224.401108,113699.436759,493518.286256,NA
00,000,16980,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,26,0,98425.195125325,152468.8877495,191075.39271825002,295785.256342,192592.789394658
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Conexus,122,51617.0773142,85629.1238936607,98310.59536791877,120190.06681583809,269456.29555331,106804.12553100074
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,35,51786.0467883,131427.6179715,162618.520987,213743.831302,459025.600735,199572.54557486117
00,000,16980,Chicago-Naperville-Elgin MSA,2024,Healthcare,28,41709.2286295,64293.678621125,77343.69689715,90657.443080375,159043.492181,89209.45992881648
00,000,16980,Chicago-Naperville-Elgin MSA,2024,TechPoint,40,60357.5703063,106963.08377725001,142682.9568715,168530.654168,509155.322211,178717.5799315905
00,000,17140,Cincinnati MSA,2024,Advanced & Traded Industries,145,0,80882.6122934253,94958.28950703502,115271.44293549636,315271.6154703616,117348.20125842886
