geo_area,total_jobs,avg_growth
Chicago-Naperville-Elgin MSA,3329050.376755683,0.5786227396959669
Cincinnati MSA,869295.4988512098,0.5322127892525109
Indianapolis-Carmel-Greenwood MSA,861446.2118239414,-0.1345653863616137
Louisville/Jefferson County MSA,596695.3178458016,-0.2559199649478375
Fort Wayne MSA,193104.01710464957,-0.15739354357745136
Elkhart-Goshen MSA,163747.10947277973,-4.934700470585813
Evansville MSA,102991.94682437938,-0.023730974807068875
South Bend-Mishawaka MSA,91392.70790316665,0.5275076107121451
Lafayette-West Lafayette MSA,81900.24726477073,-0.43428410913050647
Columbus MSA,53665.876679554945,-0.17828114336672504
Bloomington MSA,52533.7563713746,-4.086528149182822
Terre Haute MSA,44288.78208661661,2.2653775904888453
Michigan City-La Porte MSA,33985.93169757716,-0.5836706328589473
Kokomo MSA,29228.88128811338,-0.7769507137528701
Muncie MSA,27266.129966055752,1.9321256097932353
