initiative,sector_name,job_change,base_jobs,current_jobs,growth_rate
Advanced & Traded Industries,Manufacturing,256955.1052101995,269517.6255024929,526472.7307126924,95.33888729211249
Advanced & Traded Industries,Logistics,-219519.85969659546,526472.7307126924,306952.8710160969,-41.69633997936205
Advanced & Traded Industries,Advanced and Traded Services,-32879.08751312067,306952.8710160969,274073.78350297624,-10.711444856105112
AgriNovus,Animal Health and Nutrition,-62268.6503523991,65660.19892815438,3391.5485757552806,-94.83469646586614
AgriNovus,Value-Added Food and Nutrition,44359.24827765401,21300.95065050037,65660.19892815438,208.2500870758648
AgriNovus,"Agricultural Production, Distribution and Processing",15451.57907996737,5849.371570533,21300.95065050037,264.15793378226795
BioCrossroads,Pharma,19346.576165377395,3314.5959191366,22661.172084513997,583.6782714200914
BioCrossroads,Ag/Bio,-12264.4374481164,15579.033367253,3314.5959191366,-78.72399499378534
BioCrossroads,Research/Testing,-6502.098070152137,17473.483826049596,10971.38575589746,-37.2112289391241
Conexus - Logistics,Logistics,1155.2513477313332,305797.6196683657,306952.871016097,0.37778297587280907
Conexus - Manufacturing,Manufacturing,-1147.1988418079272,527619.9295545,526472.7307126921,-0.21742901993420105
Finance & Insurance,525 - Funds and Trusts,-58772.49216175419,59182.704506423994,410.2123446698,-99.30687124204458
Finance & Insurance,524 - Insurance,47680.620946633695,11502.0835597903,59182.704506423994,414.53898938205054
Finance & Insurance,522 - Credit Intermediation,42098.859669357436,23.2348355941,42122.094504951536,181188.54122663796
Healthcare,621 - Ambulatory Care,100814.99404225599,77491.97580514,178306.969847396,130.0973332977903
Healthcare,622 - Hospitals,-50854.17057383599,178306.969847396,127452.79927356,-28.52057360256839
Healthcare,623 - Nursing and Residential Care,-47073.56059809,127452.79927356,80379.23867547,-36.93411275891481
TechPoint,Software,-39054.97745058201,41753.31081460201,2698.33336402,-93.53743856145574
TechPoint,IT/Tech Services,28850.888158261598,12902.422656340412,41753.31081460201,223.60830153152605
TechPoint,"Manufacturing: Computer, Peripheral and Communications Equipment",9763.337028340497,2698.33336402,12461.670392360496,361.82842188909507
