initiative,naics_title,job_change,base_jobs,current_jobs,growth_rate
Healthcare,Home Health Care Services,6384.1502482,27846.1584277,34230.3086759,22.926502644075164
Advanced & Traded Industries,Warehousing and Storage,2793.9811624634895,64823.21043234601,67617.1915948095,4.310155488795919
Conexus - Logistics,Warehousing and Storage,2793.9811624634895,64823.21043234601,67617.1915948095,4.310155488795919
Healthcare,Nursing Care Facilities (Skilled Nursing Facilities),1997.7150745000035,43623.9057806,45621.6208551,4.5794044314766635
Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",1487.9622387399977,29184.40367952,30672.36591826,5.098484296885486
Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",1134.8562364700047,33543.67001931,34678.52625578,3.383220249354668
Finance & Insurance,Insurance Agencies and Brokerages,1038.2790260000002,26688.3074772,27726.5865032,3.8903891784333178
Healthcare,Offices of Physicians (except Mental Health Specialists),1005.329911599998,58420.4227001,59425.7526117,1.7208535391139534
Healthcare,Offices of Mental Health Practitioners (except Physicians),780.8214087799997,5814.23013152,6595.0515403,13.429489220714274
Advanced & Traded Industries,Management of Companies and Enterprises,717.5367468592885,34888.835873739205,35606.37262059849,2.0566371129607575
Advanced & Traded Industries,"Architectural, Engineering, and Related Services",672.1512404581008,23670.1952656486,24342.3465061067,2.839652283872618
Healthcare,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",662.7806801999996,13894.1329141,14556.9135943,4.770219806429221
Advanced & Traded Industries,"Machinery, Equipment, and Supplies Merchant Wholesalers",644.0700595700037,22392.511874678996,23036.581934249,2.8762742794313567
Conexus - Logistics,"Machinery, Equipment, and Supplies Merchant Wholesalers",644.07005957,22392.511874679,23036.581934249,2.8762742794313345
Advanced & Traded Industries,Architectural and Structural Metals Manufacturing,622.9329352370005,13398.833333203,14021.76626844,4.649158025522571
Conexus - Manufacturing,Architectural and Structural Metals Manufacturing,622.9329352369987,13398.833333203002,14021.76626844,4.649158025522548
Advanced & Traded Industries,Scientific Research and Development Services,619.1086060819998,5732.343571723,6351.452177805,10.800270401376366
TechPoint,Wired Telecommunications Carriers,596.4047874899998,4530.49053723,5126.89532472,13.164243089991068
Healthcare,Continuing Care Retirement Communities,574.8065643999998,10850.0689371,11424.8755015,5.297722694042473
BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",477.2985420996001,2591.01390502404,3068.31244712364,18.42130376738258
